date,time,state,magnitude,injuries,fatalities,property_loss,length_miles,width_yards
1/1/22,9:21:00,KY,2,no,no,6.00E+05,1.14,125
1/1/22,11:22:00,KY,1,no,no,NA,6.38,100
1/1/22,11:49:00,KY,1,no,no,NA,0.26,50
1/1/22,12:00:00,KY,1,no,no,NA,6.38,350
1/1/22,12:17:00,KY,1,no,no,NA,10.57,150
1/1/22,12:49:00,KY,1,no,no,NA,1.75,125
1/1/22,12:59:00,KY,1,no,no,40000,1.1,140
1/1/22,16:04:00,AL,1,no,no,50000,16.67,150
1/3/22,6:36:00,NC,1,no,no,1500000,0.12,75
1/9/22,1:17:00,TX,1,no,no,3.00E+05,2.18,40
1/9/22,1:25:00,TX,1,no,no,2.00E+05,2.24,75
1/9/22,4:42:00,LA,1,no,no,11000,0.24,100
1/9/22,4:53:00,LA,2,yes,no,1500000,3.56,900
1/15/22,23:22:00,FL,1,no,no,75000,2.65,50
1/16/22,5:37:00,FL,1,no,no,5.00E+05,0.97,50
1/16/22,6:15:00,FL,1,no,no,150000,0.54,50
1/16/22,6:32:00,FL,2,no,no,1.00E+07,7.01,125
2/3/22,12:52:00,AL,2,no,no,NA,15.47,900
2/3/22,13:38:00,AL,2,yes,yes,NA,25.87,1700
2/3/22,14:30:00,AL,2,no,no,NA,7.6,725
2/17/22,16:14:00,AL,1,no,no,NA,3.37,475
2/17/22,16:53:00,AL,1,no,no,NA,4.65,1100
2/17/22,18:08:00,AL,1,no,no,NA,12.64,400
3/5/22,16:26:00,IA,4,yes,yes,2.20E+08,70.57,900
3/5/22,17:07:00,IA,2,no,no,6.00E+05,19.42,300
3/5/22,17:33:00,IA,3,yes,yes,1500000,11.28,350
3/5/22,17:38:00,IA,2,no,no,3.00E+05,9.87,300
3/5/22,18:04:00,IA,2,no,no,505500,17.31,500
3/5/22,18:33:00,IA,2,no,no,2.00E+05,8.54,200
3/5/22,19:10:00,IA,1,no,no,NA,13.98,400
3/5/22,20:37:00,IA,1,no,no,NA,4.09,300
3/5/22,21:13:00,IL,1,no,no,NA,3.98,50
3/5/22,21:48:00,WI,1,no,no,50000,5.98,50
3/5/22,22:57:00,IL,1,no,no,50000,3.89,40
3/6/22,17:18:00,AR,1,no,no,50000,15.6,600
3/6/22,18:26:00,AR,1,no,no,40000,2.4,200
3/6/22,19:17:00,AR,2,yes,no,405000,11.34,800
3/6/22,20:17:00,AR,1,no,no,2.00E+05,2.37,150
3/7/22,1:21:00,AR,1,no,no,75000,8.64,250
3/7/22,2:02:00,AR,1,no,no,NA,6.98,550
3/9/22,0:42:00,AL,1,no,no,NA,1.77,50
3/9/22,2:11:00,AL,1,no,no,NA,0.19,150
3/9/22,4:50:00,AL,1,no,no,NA,9.14,280
3/9/22,5:12:00,FL,1,no,no,1.00E+05,0.19,100
3/9/22,6:15:00,FL,1,no,no,1.00E+05,0.41,25
3/12/22,6:45:00,FL,1,no,no,NA,26.65,65
3/12/22,7:06:00,FL,1,no,no,50000,5.8,100
3/12/22,8:03:00,FL,1,no,no,NA,5.29,70
3/12/22,10:45:00,FL,1,no,no,NA,0.65,50
3/14/22,17:10:00,TX,1,no,no,1.00E+05,3.28,150
3/16/22,12:22:00,FL,1,yes,no,1.00E+06,1.5,100
3/18/22,11:28:00,FL,1,no,no,361000,1.5,50
3/18/22,14:38:00,FL,1,no,no,NA,0.81,25
3/18/22,17:16:00,FL,2,no,no,5.00E+05,1.64,75
3/18/22,18:06:00,IN,1,no,no,NA,5.5,200
3/18/22,20:38:00,KY,1,no,no,NA,4.09,100
3/18/22,21:09:00,KY,1,no,no,NA,0.33,100
3/21/22,14:12:00,TX,1,no,no,75000,9.73,400
3/21/22,14:35:00,TX,3,yes,no,NA,34.5,880
3/21/22,15:31:00,TX,1,no,no,NA,2.07,150
3/21/22,15:34:00,TX,1,yes,no,NA,5.19,440
3/21/22,15:54:00,TX,1,no,no,NA,18.66,500
3/21/22,16:17:00,TX,1,no,no,NA,18.32,150
3/21/22,16:48:00,TX,2,no,no,NA,7.93,600
3/21/22,16:51:00,TX,1,no,no,NA,9.29,300
3/21/22,16:54:00,TX,2,no,no,2000,34.62,600
3/21/22,17:11:00,TX,2,yes,yes,5.00E+05,5.12,200
3/21/22,17:29:00,OK,1,no,no,5.00E+05,10.13,200
3/21/22,17:30:00,TX,2,no,no,NA,11.97,500
3/21/22,17:43:00,OK,1,no,no,1.00E+05,7.13,200
3/21/22,18:14:00,TX,1,no,no,30000,3.81,200
3/21/22,18:28:00,TX,1,no,no,NA,2.46,50
3/21/22,20:05:00,TX,1,no,no,1.00E+05,0.39,175
3/21/22,20:35:00,TX,1,no,no,1.00E+06,2.44,200
3/21/22,21:10:00,TX,2,yes,yes,5.00E+06,19.07,200
3/21/22,21:20:00,TX,2,yes,no,2600000,39.97,700
3/21/22,22:16:00,TX,2,yes,no,1785000,37.13,1400
